area,businessScope,companyController,companyName,issuingAuthority,legalRepresentative,license,licenseDate,qualityRepresentative,registrationAddress,repositoryAddress,validTillDate
江夏区,处方药(禁止类除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,周杨,武汉市江夏区医药公司纸坊大药房安山分店,武汉市江夏区行政审批局,赵涛,鄂DB0279004,20171012,王艳秋,江夏区安山镇新街12号,------,2021-01-13
东湖新技术开发区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,胡波莲,湖北同济堂药房有限公司南湖社区药店,武汉东湖新技术开发区市场监督管理局,张美华,鄂DB0270905,20171009,胡桂芬,武汉市东湖高新开发区周店新村南湖社区特1号,**,2021-01-05
汉阳区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)(含冷藏药品)***,杨光,武汉隆泰益丰大药房连锁有限公司康达街店,武汉市汉阳区行政审批局,***,鄂CB0274229,20171009,张建羽,武汉市汉阳区龙阳大道特8号服饰加工基地仓库A1区,委托湖南益丰医药有限公司统一配送,2022-10-08
东西湖区,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,汤明起,武汉东明药房连锁有限公司同春堂分店,武汉市东西湖区食品药品监督管理局,--------,鄂CB0278093,20171010,周念鹏,武汉市东西湖区卧龙丽景湾蓝山苑翡翠大道115号（12）号,由武汉东明药房连锁有限公司统一配送,2020-12-29
江夏区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,吕朝霞,武汉施州御草堂大药房有限公司,武汉市江夏区行政审批局,夏唯,鄂DB0279122,20171010,黄雁斐,武汉市江夏区藏龙岛栗庙社区商业街3-1-12、3-1-13,******,2019-11-23
江岸区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品。（不含冷藏冷冻药品）***,王立优,湖北美罗汇健康药房有限公司武汉高雄店,武汉市江岸区食品药品监督管理局,***,鄂CB0276386,20171010,杨丽,武汉市江岸区湖光公寓3单元1层4室,***,2021-07-26
黄陂区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品***,熊蓓,武汉济仁堂大药房连锁有限公司百秀店,武汉市黄陂区市场监督管理局,***,鄂CB0279515,20171010,乐丽华,黄陂区百秀街129号,由武汉济仁堂大药房连锁有限公司配送,2021-03-24
黄陂区,处方药(禁止类除外)、非处方药、中药饮片;中成药、化学药制剂、抗生素制剂、生化药品、诊断药品、生物制品(除疫苗外)***,罗芙蓉,武汉市宏康大药房连锁有限公司民清药店,武汉市黄陂区市场监督管理局,王正茂,鄂CB0279425,20171010,刘瑛,黄陂区长岭镇民清街2号,由武汉市宏康大药房连锁有限公司配送,2020-10-14
经济技术开发区（汉南区）,处方药（不含禁止类）、非处方药：中成药、化学药制剂、抗生素制剂、生化药品、生物制品（不含疫苗）（含冷藏药品）***,姚守华,武汉华康民健大药房有限公司,武汉经济技术开发区（汉南区）行政审批局,周密,鄂DA0270661,20171010,林芡芬,武汉经济技术开发区沌口街曹庄小区29号,无,2021-05-11
江岸区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,余建新,湖北智仁大药房有限公司二七店,武汉市江岸区食品药品监督管理局,,鄂CB0271133,20171011,刘阳,武汉市江岸区新村街桃园1号楼13-16轴门面,,2021-04-05
